Dosis;PTV;Recto;Bufeta
4884;100;6,14295;18,3357
4890;100;6,0895;18,2692
4896;100;6,04184;18,2023
4902;100;5,99332;18,1354
4908;100;5,93934;18,0687
4914;100;5,8888;18,0018
4920;100;5,84072;17,9351
4926;100;5,79411;17,8678
4932;100;5,73987;17,8008
4938;100;5,69475;17,7337
4944;100;5,64983;17,6664
4950;100;5,59933;17,5989
4956;100;5,5468;17,5311
4962;100;5,49408;17,4632
4968;100;5,44272;17,3952
4974;100;5,39436;17,3271
4980;100;5,35045;17,2587
4986;100;5,30652;17,1905
4992;100;5,26045;17,1222
4998;100;5,21435;17,0536
5004;100;5,16791;16,9857
5010;100;5,12295;16,9178
5016;100;5,07776;16,8504
5022;100;5,03224;16,7829
5028;100;4,98761;16,7152
5034;100;4,94125;16,6472
5040;100;4,89599;16,5791
5046;100;4,85081;16,5107
5052;100;4,80263;16,4424
5058;100;4,75696;16,3742
5064;100;4,70869;16,3057
5070;100;4,66118;16,2369
5076;100;4,61499;16,1681
5082;100;4,56603;16,0991
5088;100;4,51554;16,0299
5094;100;4,46483;15,9603
5100;100;4,41422;15,8907
5106;100;4,3618;15,8212
5112;100;4,30837;15,7518
5118;100;4,25285;15,6823
5124;100;4,19669;15,6123
5130;100;4,14265;15,5424
5136;100;4,08892;15,4725
5142;100;4,03427;15,4026
5148;100;3,9808;15,3325
5154;100;3,92578;15,2622
5160;100;3,87438;15,1913
5166;100;3,82365;15,1203
5172;100;3,77528;15,0494
5178;100;3,72693;14,9792
5184;100;3,67984;14,9092
5190;100;3,63083;14,8389
5196;100;3,58077;14,7684
5202;100;3,53011;14,6979
5208;100;3,47746;14,627
5214;100;3,42215;14,5558
5220;100;3,36644;14,484
5226;100;3,31187;14,4128
5232;100;3,25657;14,3413
5238;100;3,20216;14,2696
5244;100;3,14874;14,1973
5250;100;3,09624;14,1251
5256;100;3,04653;14,053
5262;100;2,99715;13,9806
5268;100;2,94811;13,9078
5274;100;2,89941;13,8345
5280;100;2,85122;13,7608
5286;100;2,80148;13,6869
5292;100;2,75016;13,6135
5298;100;2,69818;13,5396
5304;100;2,64496;13,4658
5310;100;2,59056;13,392
5316;100;2,53418;13,3174
5322;100;2,47902;13,2422
5328;100;2,42285;13,1676
5334;100;2,36772;13,0928
5340;100;2,31418;13,0178
5346;100;2,26268;12,9423
5352;100;2,21148;12,8669
5358;100;2,1599;12,7912
5364;100;2,1066;12,7151
5370;100;2,05121;12,6386
5376;100;1,99738;12,5617
5382;100;1,94415;12,4846
5388;100;1,89043;12,4072
5394;100;1,82919;12,3287
5400;100;1,76852;12,2503
5406;100;1,70351;12,1726
5412;100;1,63622;12,0945
5418;100;1,573;12,0161
5424;100;1,50162;11,9376
5430;100;1,43503;11,8591
5436;100;1,37413;11,7807
5442;100;1,31053;11,702
5448;100;1,24309;11,6223
5454;100;1,17908;11,5423
5460;100;1,11604;11,4617
5466;100;1,05216;11,3801
5472;100;0,986833;11,2982
5478;100;0,927411;11,2163
5484;100;0,877383;11,1342
5490;100;0,825522;11,0512
5496;100;0,763527;10,9673
5502;100;0,705311;10,8824
5508;100;0,649551;10,7974
5514;100;0,593198;10,7118
5520;100;0,534999;10,6262
5526;100;0,492667;10,5405
5532;100;0,450452;10,4548
5538;100;0,413917;10,3681
5544;100;0,374328;10,2816
5550;100;0,340032;10,1952
5556;100;0,30122;10,1077
5562;100;0,261689;10,0196
5568;100;0,206158;9,93114
5574;100;0,169969;9,84164
5580;100;0,142465;9,7514
5586;100;0,117598;9,66087
5592;100;0,0950893;9,57065
5598;100;0,0762212;9,47977
5604;100;0,0607662;9,38824
5610;100;0,0447496;9,29519
5616;100;0,0304736;9,20232
5622;100;0,020112;9,10935
5628;100;0,0136056;9,0154
5634;100;0,00776315;8,92074
5640;100;0,00521584;8,82569
5646;100;0,0033793;8,73017
5652;100;0,0015;8,63476
5658;100;0;8,53796
5664;100;0;8,4408
5670;100;0;8,34386
5676;100;0;8,24622
5682;99;0;8,14837
5688;99;0;8,04908
5694;99;0;7,95018
